interview__key;date_q;hh_02;settlement;members;memnal;weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_1n;hous_29_2n;hous_29_3n;hous_29_4n;hous_29_5n;hous_29_6n;hous_39;hous_44;soc_01;soc_05;hous_47_8
00-36-40-16;2019,11;7;1;2;2;199,569444;47645,53571;10981,42207;0;3497,20819;43575,89286;20969,44434;0;123172,295;50000;81950,8664;31950,8664;50000;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;61;70102,53125;1;399,138885;1,827663;2;1;1;0;1;0;0;0;0;1;2;2;;1
00-38-80-67;2019,07;10;2;6;6;40,74537;14991,07143;18195,5984;0;3635,837739;24997,02381;28200;0;86383,69364;253333,3333;299728,9317;46395,5984;;;183333,3333;70000;;;;;;;;;;;;;;;;1;;;;2;2;1;1;1;84;28283,10547;2;244,472229;4,75326;1;1;1;0;0;0;0;0;1;2;3;2;;1
00-39-41-60;2019,04;8;2;1;1;126,657407;41888,09524;1666,725952;0;1079,90516;0;9150;66666,66667;119371,4879;74300;85116,72595;10816,72595;;;;;;;;;;;;;;74300;;;;;;;;;;;;1;5;1;51;71590,28125;1;126,65741;1;1;1;1;0;0;1;0;0;0;2;3;2;;
00-41-12-90;2019,11;4;2;5;5;192,157407;80473,80952;1645,290405;0;3169,816698;94028,27381;33055,55566;0;209202,9294;248466,6667;283167,5127;34700,84607;;40000;171666,6667;36800;;;;;;;;;;;;;;;1;1;;;1;;1;1;2;3;80;61144,85938;1;960,787048;3,557276;1;1;1;0;0;1;0;0;0;2;3;2;;
00-42-00-52;2019,07;1;1;4;4;254,351852;58617,26191;8361,855619;7517,261905;2840,310088;79843,75;35061,80566;0;189401,9351;184000;227423,6613;43423,66128;180000;4000;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;58;60331,86719;1;1017,40741;3,340352;1;1;1;0;0;1;0;0;1;1;3;2;;1
00-42-84-63;2019,04;1;1;2;2;92,657407;24550,59524;0;0;3232,234912;3606,547619;45048,61108;0;73205,75394;60000;105048,6111;45048,61108;;;;60000;;;;;;;;;;;;;;;;;;;;1;1;2;6;3;81;55101,13672;1;185,314819;1,827663;2;1;1;0;0;0;0;0;0;1;3;2;;1
00-43-99-60;2019,11;3;2;4;3;222,138889;72674,10714;15903,57143;0;2285,877402;16188,9881;109427,7813;0;214194,4479;370583,3333;495914,686;125331,3527;;;334583,3333;36000;;;;;;;;;;;;;;;;;;;;1;1;1;5;1;56;102348,0703;1;666,416687;2,601145;1;1;1;0;0;0;0;0;1;2;3;2;;1
00-45-25-06;2019,1;10;2;3;1;40,74537;15208,33333;16029,87036;0;2494,700292;2042,261905;16141,66675;0;49422,13235;203125;235296,5371;32171,53711;;;3125;;;;;;;;;;;;;200000;;;;;;;;;;1;;1;54;76780,30469;1;40,745369;1,000953;1;1;1;0;0;0;0;0;1;1;3;2;;
00-46-35-92;2019,12;2;1;1;1;76,87037;16033,92857;8163,155889;0;1160,178571;17055,05952;10541,66675;0;51793,81073;105940;124644,8226;18704,82264;;;;46500;;;;;;;;;;59440;;;;;;;;;1;;1;1;2;3;79;69336,64063;1;76,870369;1;2;1;1;0;0;1;0;0;0;1;2;2;;1
00-49-74-12;2019,03;3;2;6;6;222,138889;18467,26191;488,839286;9776,785714;2950,203698;42715,77381;39316,6665;0;110765,3272;222090;261895,5058;39805,50579;100000;;;26000;;;;;;;;;;96090;;;1;;2;;;1;;;1;2;3;3;68;48840,54297;1;1332,833374;4,020745;1;1;1;0;0;0;0;0;1;2;3;2;;1
